drug_id,cellline_id,cancer_type,IC50,IC50_predicted
5330286,ACH-000981,ALL,0.7580,0.6346
5330286,ACH-000960,ALL,-0.7159,1.1813
5330286,ACH-000059,ALL,1.2058,-0.6550
11977753,ACH-000105,ALL,-2.1874,-3.6230
11977753,ACH-000981,ALL,-2.0686,-3.1591
11977753,ACH-000795,ALL,-2.1645,-2.9736
11977753,ACH-000918,ALL,-3.9223,-3.7825
11977753,ACH-000960,ALL,-2.6422,-2.5253
25262965,ACH-000960,ALL,-1.1954,-0.8466
25262965,ACH-000874,ALL,-2.3649,-1.3830
25262965,ACH-000059,ALL,-2.3718,-1.4534
46844147,ACH-000105,ALL,1.9272,0.8316
46844147,ACH-000061,ALL,1.5960,2.0595
46844147,ACH-000104,ALL,2.7753,2.0252
46844147,ACH-000938,ALL,1.6339,1.4424
46844147,ACH-000197,ALL,2.9482,3.0841
9826528,ACH-000795,ALL,-3.8028,-1.8891
9826528,ACH-000636,ALL,0.9567,0.6983
9826528,ACH-000953,ALL,1.5505,1.1323
11316960,ACH-000070,ALL,2.4017,2.7826
11316960,ACH-000061,ALL,4.2934,3.2229
11316960,ACH-001106,ALL,2.2846,2.8857
11316960,ACH-000938,ALL,3.0131,2.7978
11316960,ACH-000874,ALL,3.8894,2.8915
11316960,ACH-000953,ALL,3.6134,3.2137
2314623,ACH-000070,ALL,3.4245,2.9289
2314623,ACH-000922,ALL,3.5688,3.1568
9938202,ACH-000372,ALL,2.1092,3.2027
9938202,ACH-000922,ALL,2.9851,3.0753
9938202,ACH-000636,ALL,2.8065,2.9371
36314,ACH-000070,ALL,-6.1203,-5.1933
36314,ACH-000105,ALL,-5.3681,-4.9665
160355,ACH-000061,ALL,4.0714,3.3950
160355,ACH-000937,ALL,3.4197,3.3365
5717801,ACH-000937,ALL,3.2378,2.9625
5717801,ACH-000960,ALL,2.8351,2.8731
5717801,ACH-000953,ALL,4.2787,3.3751
5717801,ACH-000197,ALL,3.5083,4.2084
85668777,ACH-000981,ALL,6.2247,5.6331
85668777,ACH-000372,ALL,5.8729,6.5680
85668777,ACH-000922,ALL,6.0389,6.3230
85668777,ACH-000960,ALL,6.4925,6.5811
85668777,ACH-000636,ALL,5.7658,5.8268
51371303,ACH-000061,ALL,5.3904,3.2923
51371303,ACH-000104,ALL,3.0080,2.9706
51371303,ACH-000874,ALL,3.7742,2.9203
11609586,ACH-000960,ALL,2.4240,2.6585
11455910,ACH-000995,ALL,-0.3969,-0.6919
11455910,ACH-000059,ALL,-0.9665,-1.5501
46843772,ACH-000995,ALL,2.3816,1.9968
46843772,ACH-000874,ALL,1.8371,2.0701
5327091,ACH-000918,ALL,1.0981,1.7088
5327091,ACH-000960,ALL,3.0413,2.5456
5327091,ACH-000953,ALL,4.3211,3.0987
9931953,ACH-000070,ALL,0.4539,2.7792
9931953,ACH-000981,ALL,3.3829,2.9003
9931953,ACH-000061,ALL,4.1257,3.1076
9931953,ACH-000372,ALL,3.3172,3.1676
9931953,ACH-000937,ALL,3.4795,3.0280
9931953,ACH-000874,ALL,2.6379,2.8866
208908,ACH-000104,ALL,2.5134,2.5819
208908,ACH-000960,ALL,2.3856,2.4616
9858940,ACH-000981,ALL,3.8797,3.3337
9858940,ACH-000020,ALL,2.6488,3.5367
2733526,ACH-000061,ALL,2.1758,3.0649
2733526,ACH-000104,ALL,2.6447,2.8294
2733526,ACH-000636,ALL,2.5719,2.7957
71271629,ACH-000061,ALL,0.0549,1.8386
71271629,ACH-001106,ALL,2.0444,1.8751
71271629,ACH-000020,ALL,3.8315,2.0856
71271629,ACH-000938,ALL,1.8440,1.5752
54685215,ACH-000070,ALL,-0.6393,-1.0355
54685215,ACH-001106,ALL,-0.3894,-0.5839
54685215,ACH-000795,ALL,-0.5896,-1.0250
54685215,ACH-000938,ALL,-0.4697,-0.9748
54685215,ACH-000636,ALL,-0.4498,-0.8818
44632017,ACH-000981,ALL,1.3693,1.1636
44632017,ACH-001106,ALL,0.2408,1.1221
44632017,ACH-000104,ALL,0.8985,2.0633
9863776,ACH-000020,ALL,1.6585,0.6437
637858,ACH-000937,ALL,4.0050,1.7022
6914657,ACH-000104,ALL,-6.8462,-5.9594
6914657,ACH-000953,ALL,-6.0577,-6.3852
44819241,ACH-000981,ALL,0.6212,1.5325
44819241,ACH-000937,ALL,4.4844,2.0484
44819241,ACH-000636,ALL,0.0218,1.4931
57339144,ACH-000105,ALL,1.8333,0.9488
57339144,ACH-000104,ALL,1.8298,1.3025
57339144,ACH-000372,ALL,1.6863,1.5313
57339144,ACH-000960,ALL,1.8948,1.4480
56962337,ACH-000070,ALL,0.7014,0.7414
56962337,ACH-000061,ALL,1.9279,1.3571
56962337,ACH-000995,ALL,1.2725,1.3050
56962337,ACH-001106,ALL,1.2605,1.2176
56962337,ACH-000938,ALL,0.7145,1.0497
2726824,ACH-000061,ALL,3.8778,3.0756
2726824,ACH-000937,ALL,3.7910,3.0004
31703,ACH-000937,ALL,-2.6665,-2.9461
36462,ACH-000981,ALL,-0.2628,-0.3689
36462,ACH-000937,ALL,-0.0591,-0.6201
36462,ACH-000197,ALL,5.0284,3.5419
60750,ACH-000061,ALL,-2.7146,-2.8582
60750,ACH-000938,ALL,-5.8884,-5.2937
60750,ACH-000636,ALL,-3.2534,-5.0944
60750,ACH-000874,ALL,-5.2148,-5.0253
60750,ACH-000197,ALL,1.0661,0.6320
5746,ACH-000981,ALL,-1.9482,-2.0359
5746,ACH-000938,ALL,-3.5656,-2.4521
5746,ACH-000372,ALL,-2.4321,-1.6095
5746,ACH-000960,ALL,-3.0063,-1.7124
5746,ACH-000636,ALL,-2.6815,-2.1616
5746,ACH-000874,ALL,-2.6182,-2.0591
5746,ACH-000197,ALL,0.8632,1.0254
11707110,ACH-000105,ALL,0.1211,-0.7425
11707110,ACH-000061,ALL,1.5116,1.4028
11707110,ACH-001106,ALL,0.7433,-0.3322
11707110,ACH-000020,ALL,1.5289,0.9966
11707110,ACH-000918,ALL,-0.1641,0.1128
11707110,ACH-000938,ALL,1.7629,0.0152
11707110,ACH-000372,ALL,1.6863,1.0148
11707110,ACH-000874,ALL,1.7791,0.3338
44462760,ACH-000105,ALL,1.1422,2.3306
44462760,ACH-000020,ALL,3.8314,2.9421
44462760,ACH-000938,ALL,4.0276,2.1511
5394,ACH-000981,ALL,5.2650,4.5348
5394,ACH-001106,ALL,4.7654,4.8652
5394,ACH-000104,ALL,5.0677,4.1365
5460769,ACH-000061,ALL,3.9971,4.2883
5460769,ACH-000795,ALL,2.9686,1.6136
5311497,ACH-000981,ALL,-4.6135,-5.3384
5311497,ACH-001106,ALL,-4.1853,-5.4305
5311497,ACH-000104,ALL,-4.8158,-5.1374
5311497,ACH-000953,ALL,-5.4128,-2.9556
5459322,ACH-001106,ALL,4.8162,4.4525
5459322,ACH-000874,ALL,5.0483,4.4850
5459322,ACH-000197,ALL,4.2746,4.9759
104842,ACH-000105,ALL,-6.9647,-5.4385
104842,ACH-000061,ALL,-2.9264,-3.9997
104842,ACH-000995,ALL,-5.7793,-5.2003
104842,ACH-000795,ALL,-6.3205,-5.4354
104842,ACH-000372,ALL,-6.4204,-4.6092
104842,ACH-000922,ALL,-6.3625,-5.6267
104842,ACH-000960,ALL,-6.4343,-4.8767
4263900,ACH-000960,ALL,2.4996,2.2726
4263900,ACH-000953,ALL,2.0982,2.7645
44551660,ACH-000981,ALL,0.9878,0.8074
44551660,ACH-000636,ALL,-0.2606,0.6040
44551660,ACH-000953,ALL,0.5375,1.5552
16720766,ACH-000104,ALL,0.1841,-0.0658
16720766,ACH-000020,ALL,1.0418,-0.0709
16720766,ACH-000795,ALL,-1.3444,-0.8314
16720766,ACH-000372,ALL,-0.1437,0.5517
78243717,ACH-001106,ALL,3.7051,3.9498
78243717,ACH-000372,ALL,3.7400,3.9842
78243717,ACH-000960,ALL,3.9591,4.1054
24826799,ACH-000981,ALL,-0.7056,-1.5841
24826799,ACH-000061,ALL,1.3517,0.6161
24826799,ACH-000104,ALL,0.0768,0.3566
24826799,ACH-000874,ALL,-0.1208,-0.3966
24826799,ACH-000953,ALL,-2.2539,0.8959
25222038,ACH-000636,ALL,-0.8508,-1.1308
25222038,ACH-000197,ALL,1.0826,0.3148
11713159,ACH-000070,ALL,0.7105,0.6417
11713159,ACH-000981,ALL,1.1856,1.1846
11713159,ACH-000061,ALL,2.3677,1.8630
11713159,ACH-000938,ALL,0.4138,0.9250
11713159,ACH-000372,ALL,0.9741,1.6882
53302361,ACH-000105,ALL,-4.6459,-2.6588
53302361,ACH-000981,ALL,0.9168,0.0291
53302361,ACH-000953,ALL,-1.2834,1.3042
560326,ACH-000061,ALL,3.7022,4.9122
560326,ACH-000953,ALL,4.9422,6.0297
3005532,ACH-000981,ALL,0.9673,1.2746
3005532,ACH-000938,ALL,1.9725,1.2659
3005532,ACH-000960,ALL,1.9480,1.5540
10027278,ACH-000105,ALL,0.9854,0.2578
10027278,ACH-000937,ALL,0.7223,1.4407
5208,ACH-000104,ALL,-0.3691,-0.7652
5208,ACH-000372,ALL,0.1287,-0.5322
5208,ACH-000937,ALL,-0.3497,-0.8143
3218,ACH-000061,ALL,4.0618,2.6233
3218,ACH-000874,ALL,2.4161,2.2073
3218,ACH-000059,ALL,1.4707,1.8775
3218,ACH-000197,ALL,4.0315,3.8242
3463933,ACH-001106,ALL,1.7269,1.7635
6753378,ACH-000070,ALL,-0.4856,0.3226
6753378,ACH-000372,ALL,0.2908,1.2909
521106,ACH-000061,ALL,2.2274,2.8751
521106,ACH-000937,ALL,1.6477,2.6130
521106,ACH-000960,ALL,1.2209,2.8204
521106,ACH-000059,ALL,2.7207,2.5875
521106,ACH-000953,ALL,3.5912,3.3131
25022668,ACH-000105,ALL,0.3002,2.0397
25022668,ACH-000981,ALL,2.0733,2.0580
25022668,ACH-000372,ALL,2.2390,2.3896
25022668,ACH-000937,ALL,2.1238,2.0518
10200390,ACH-000070,ALL,-0.5215,0.2767
10200390,ACH-000105,ALL,0.6137,-0.1626
10200390,ACH-000937,ALL,0.9029,1.0512
10200390,ACH-000960,ALL,0.9545,1.5626
10200390,ACH-000953,ALL,0.8543,1.9161
10200390,ACH-000197,ALL,3.7996,3.0205
3385,ACH-000104,ALL,2.5567,1.6767
3385,ACH-000372,ALL,1.7116,1.7460
446378,ACH-000960,ALL,-4.6325,-4.4487
446378,ACH-000059,ALL,-3.6700,-5.3701
446378,ACH-000197,ALL,-4.4435,-2.1689
11404337,ACH-000372,ALL,-2.2502,-1.8984
11404337,ACH-000636,ALL,-2.7099,-2.4824
11404337,ACH-000874,ALL,-2.1622,-2.4409
11404337,ACH-000059,ALL,-3.7526,-2.5175
24785538,ACH-000937,ALL,0.6510,0.1945
24785538,ACH-000197,ALL,3.1251,1.8297
11640390,ACH-000061,ALL,3.3596,2.0773
82146,ACH-000070,ALL,3.0773,2.1512
82146,ACH-000636,ALL,3.8422,2.6729
54676905,ACH-000070,ALL,3.5399,3.6206
54676905,ACH-000937,ALL,4.2556,4.2338
54676905,ACH-000874,ALL,3.4640,4.0081
54676905,ACH-000059,ALL,4.1061,3.7514
54676905,ACH-000953,ALL,4.2289,4.4147
11617559,ACH-000070,ALL,4.4232,3.8288
11617559,ACH-000105,ALL,4.9856,3.7873
11617559,ACH-000795,ALL,5.0596,4.5211
11617559,ACH-000874,ALL,5.2455,4.8219
10096043,ACH-001106,ALL,-3.9876,-3.8539
8249,ACH-000981,ALL,6.6550,5.8795
8249,ACH-000874,ALL,5.2716,5.1098
8249,ACH-000197,ALL,7.6245,7.8821
5280757,ACH-000981,ALL,-3.2987,-3.2616
5280757,ACH-000104,ALL,-3.1652,-3.2601
5280757,ACH-000938,ALL,-2.8720,-3.6086
10113978,ACH-000636,ALL,3.5189,1.9811
6445533,ACH-000104,ALL,-4.6464,-4.0503
6445533,ACH-000372,ALL,-3.9292,-3.8145
6445533,ACH-000059,ALL,-4.9999,-3.8994
448013,ACH-000070,ALL,-6.3079,-5.8723
448013,ACH-000981,ALL,-3.6151,-5.7909
448013,ACH-000061,ALL,-4.6818,-5.1994
448013,ACH-000938,ALL,-6.0781,-5.7098
448013,ACH-000960,ALL,-6.2969,-5.4184
25124816,ACH-000070,ALL,1.4605,1.4203
25124816,ACH-000104,ALL,1.8679,2.2848
25124816,ACH-000636,ALL,1.1713,2.1141
9813758,ACH-000104,ALL,-1.2833,1.5472
9813758,ACH-000938,ALL,2.1379,1.1221
9813758,ACH-000636,ALL,0.1286,1.6051
159324,ACH-000105,ALL,-0.4444,-0.3299
25126798,ACH-000981,ALL,-1.5177,2.9527
25126798,ACH-000372,ALL,2.3969,3.1329
25126798,ACH-000937,ALL,2.8907,3.4891
10109823,ACH-000981,ALL,1.1619,1.8090
10109823,ACH-000938,ALL,0.9536,1.6440
10109823,ACH-000953,ALL,1.6812,2.8296
6450816,ACH-000070,ALL,-5.0263,-4.5372
6450816,ACH-000981,ALL,-3.8204,-4.5398
6450816,ACH-000953,ALL,-3.2329,-3.9196
6450816,ACH-000197,ALL,-0.4719,-1.3483
11338033,ACH-000105,ALL,-2.2679,-2.0145
11338033,ACH-000938,ALL,-2.0351,-2.2643
11338033,ACH-000372,ALL,-1.8828,-1.0829
11338033,ACH-000874,ALL,-1.9388,-2.2224
11754511,ACH-000105,ALL,-2.7945,-1.2220
11754511,ACH-000960,ALL,-0.8142,-0.6750
11754511,ACH-000874,ALL,-2.1962,-1.5258
11647372,ACH-000937,ALL,-1.8081,-1.3384
11647372,ACH-000960,ALL,-2.1251,-1.2397
11647372,ACH-000059,ALL,-1.8980,-1.1151
11647372,ACH-000953,ALL,-0.3597,-0.0439
5289247,ACH-000981,ALL,0.7639,1.6764
46885626,ACH-000105,ALL,-5.9287,-2.6280
46885626,ACH-000061,ALL,-0.2634,-1.0266
46885626,ACH-001106,ALL,-4.3042,-2.6009
46885626,ACH-000953,ALL,-0.6816,-1.9156
176167,ACH-000104,ALL,0.0325,1.9753
176167,ACH-000059,ALL,-0.2767,1.5366
11373846,ACH-000105,ALL,3.0817,2.4071
11373846,ACH-000061,ALL,4.0758,3.3920
11373846,ACH-001106,ALL,3.6685,3.2034
11373846,ACH-000636,ALL,1.6874,2.7988
11373846,ACH-000874,ALL,3.6803,2.8604
11625818,ACH-001106,ALL,3.2534,2.8058
11625818,ACH-000104,ALL,1.6330,2.8756
11625818,ACH-000795,ALL,4.1528,2.9647
11625818,ACH-000372,ALL,1.7963,2.9972
11625818,ACH-000636,ALL,1.2490,2.5077
25102847,ACH-000795,ALL,2.2512,2.3841
25102847,ACH-000937,ALL,1.4844,1.8610
25102847,ACH-000059,ALL,0.5619,-0.7784
25102847,ACH-000953,ALL,2.0990,2.2888
24889392,ACH-001106,ALL,0.4348,1.5651
9874913,ACH-000105,ALL,4.0592,2.7906
9874913,ACH-000104,ALL,3.9057,3.4304
9874913,ACH-000938,ALL,3.0342,3.3451
9874913,ACH-000372,ALL,3.4289,3.8522
9874913,ACH-000960,ALL,4.6302,3.8797
9874913,ACH-000953,ALL,3.8595,3.9829
704473,ACH-000981,ALL,1.4299,2.9562
704473,ACH-000795,ALL,3.0049,3.1327
704473,ACH-000938,ALL,1.7768,2.7980
704473,ACH-000960,ALL,3.1737,3.6145
53340664,ACH-000938,ALL,-0.2818,-0.2438
53340664,ACH-000636,ALL,0.5671,0.8938
11634725,ACH-000104,ALL,3.4398,2.3951
11634725,ACH-000372,ALL,2.6344,2.0748
11634725,ACH-000960,ALL,2.6416,2.2419
11634725,ACH-000636,ALL,2.4025,1.6931
11493598,ACH-000981,ALL,3.1975,3.8507
11493598,ACH-000938,ALL,3.0256,3.4282
11493598,ACH-000636,ALL,4.1062,3.6310
53394750,ACH-000981,ALL,2.0512,2.3342
53394750,ACH-000372,ALL,2.3795,2.3327
53394750,ACH-000059,ALL,2.0522,2.1714
9910224,ACH-000105,ALL,3.3696,4.2908
9910224,ACH-001106,ALL,4.5235,5.0467
9910224,ACH-000938,ALL,3.9665,4.8334
9910224,ACH-000937,ALL,4.6641,5.1375
9910224,ACH-000636,ALL,4.7343,4.6046
42640,ACH-000981,ALL,3.8110,2.7290
42640,ACH-000795,ALL,2.4140,2.6773
42640,ACH-000372,ALL,2.4098,2.7977
42640,ACH-000953,ALL,2.7323,2.8866
42640,ACH-000197,ALL,5.3036,3.7099
24894414,ACH-000105,ALL,2.9628,2.6718
24894414,ACH-000981,ALL,3.3667,2.5884
24894414,ACH-000104,ALL,0.2710,2.6496
24894414,ACH-000938,ALL,2.1746,2.7675
24894414,ACH-000960,ALL,3.1704,2.8516
24894414,ACH-000197,ALL,3.9353,4.3159
6918848,ACH-000061,ALL,-2.0862,-2.0742
6918848,ACH-001106,ALL,-2.9658,-2.4876
6918848,ACH-000938,ALL,-2.2371,-2.8523
6918848,ACH-000059,ALL,-2.4831,-2.5632
6918848,ACH-000953,ALL,-2.1278,-1.2970
24756910,ACH-001106,ALL,-3.2765,-2.1449
24756910,ACH-000960,ALL,-2.3081,-2.2089
6918638,ACH-000105,ALL,-2.0130,-1.3621
6918638,ACH-000981,ALL,-1.8339,-1.7683
6918638,ACH-000795,ALL,-2.9671,-1.1359
6918638,ACH-000953,ALL,-1.4200,-0.9302
46943432,ACH-000070,ALL,-0.0383,-0.1221
46943432,ACH-000104,ALL,0.9675,1.1630
46943432,ACH-000938,ALL,-0.1612,-0.0718
24951314,ACH-001106,ALL,-1.5500,-1.3050
11485656,ACH-000070,ALL,0.8418,0.5293
11485656,ACH-000061,ALL,3.1993,2.3246
11485656,ACH-000104,ALL,-2.1677,2.1219
11485656,ACH-000960,ALL,1.5474,1.8559
11485656,ACH-000059,ALL,2.3051,0.8033
46931012,ACH-000104,ALL,2.6936,2.6769
46931012,ACH-000795,ALL,2.9731,2.6029
46931012,ACH-000636,ALL,1.4650,2.1818
46931012,ACH-000874,ALL,2.7306,2.2283
46931012,ACH-000059,ALL,2.7329,2.4480
49806720,ACH-000061,ALL,4.5729,3.0214
49806720,ACH-000795,ALL,2.4187,2.7990
49806720,ACH-000059,ALL,2.7723,2.7770
6445562,ACH-000070,ALL,-2.6206,-1.6962
6445562,ACH-000938,ALL,-1.9361,-1.5213
6445562,ACH-000372,ALL,-0.0643,-0.5820
6445562,ACH-000197,ALL,3.1576,3.2832
25167777,ACH-000104,ALL,-4.4916,-3.8441
25167777,ACH-000874,ALL,-7.0728,-4.2057
25167777,ACH-000059,ALL,-5.6072,-4.1579
56965967,ACH-000104,ALL,2.0986,2.0702
56965967,ACH-000937,ALL,1.5292,1.9721
56965967,ACH-000960,ALL,1.9242,1.8534
56965967,ACH-000874,ALL,1.0863,1.5028
56965967,ACH-000059,ALL,-0.8779,1.6147
3796,ACH-000795,ALL,3.0935,3.2427
11676786,ACH-000981,ALL,0.5838,1.3721
11676786,ACH-000795,ALL,1.0493,1.1699
11676786,ACH-000937,ALL,1.1976,1.8259
11676786,ACH-000636,ALL,2.2352,1.6170
11676786,ACH-000874,ALL,2.0474,1.6238
11676786,ACH-000059,ALL,0.1444,0.3622
44143370,ACH-000795,ALL,2.7959,2.7022
44143370,ACH-000874,ALL,2.8794,2.6434
10074640,ACH-000372,ALL,2.5386,2.0472
10074640,ACH-000953,ALL,2.7006,2.5497
11282283,ACH-000960,ALL,3.2565,2.0355
25195352,ACH-000104,ALL,2.4257,2.5080
25195352,ACH-000372,ALL,2.3499,2.7839
25195352,ACH-000937,ALL,2.5130,2.5555
25195352,ACH-000960,ALL,1.9573,2.7953
16747388,ACH-000795,ALL,0.8456,1.6490
16747388,ACH-000960,ALL,3.2963,1.8623
16747388,ACH-000636,ALL,0.7404,1.5081
16747388,ACH-000874,ALL,1.9154,1.3000
9868037,ACH-000795,ALL,2.5281,2.9050
9868037,ACH-000938,ALL,1.6815,2.3816
9868037,ACH-000372,ALL,2.8456,3.0299
9868037,ACH-000636,ALL,2.1657,2.5330
44224160,ACH-000061,ALL,-2.6692,-1.7630
44224160,ACH-000938,ALL,-1.8295,-2.2588
44224160,ACH-000960,ALL,-2.3433,-1.9296
44224160,ACH-000874,ALL,-2.8165,-2.2093
5384616,ACH-000070,ALL,-5.3230,-4.1861
5384616,ACH-000105,ALL,-2.6743,-4.2088
5384616,ACH-000981,ALL,-2.5790,-3.9036
216239,ACH-000874,ALL,3.3720,1.1833
216239,ACH-000197,ALL,3.4815,2.9447
25257557,ACH-000061,ALL,1.4840,1.3540
25257557,ACH-000795,ALL,2.1749,0.5531
25257557,ACH-000636,ALL,-2.1227,-0.3071
46191454,ACH-000061,ALL,-0.4822,-0.5921
